pg_index,commentary_source,commentary
0,supervasco,A3 é como se fosse terceira divisão?
0,supervasco,PARABÉNS MENINAS!!GRANDE VITÓRIA E UM TÍTULO IMPORTANTE PARA A CARREIRA DE TODAS VOCÊS!!!SIGAMOS EM FRENTE QUE MUITO MAIS VIRÁ!!!SDV's!!!
1,supervasco,"O olha que temos uma torcida com alguns ""rifugos"", como insiste em dizer (ou relinchar) o pseudo-vascaíno que corneta acima, no Facebook."
1,supervasco,"Ainda tem torcedor que critica o Vasco dizendo que não temos time. Só pode ser torcedor mulambo.O mais importante é ler essa matéria do GE nas entrelinhas. Se o número de sócios cresceu de 34 mil para 58 mil, então o crescimento não foi de mais de 40%. O crescimento real foi superior a 70%!!!Os desatentos prestam atenção apenas ao percentual. O escritor não cometeu um erro, pois ele reduziu o percentual de propósito."
2,supervasco,"Adeus, Broxedes."
2,supervasco,Todos eles que vão para casa do Carvalho.
3,supervasco,"PAYET, coutinho, Teixeira, Souza. Emerson. Rodrigues....ótimo.ms pra q Rayan??"
