,datetime,title,link
221,2024-07-06T08:23:34-03:00,Rica Perrone questiona sobre os tipos de contrato que foram feitos no Vasco,/noticias/rica-perrone-questiona-sobre-os-tipos-de-contrato-que-foram-feitos-no-vasco-395613.html
222,2024-07-06T08:10:51-03:00,Galdames não deve ficar no Vasco e outros jogadores irão sair,/noticias/galdames-nao-deve-ficar-no-vasco-e-outros-jogadores-irao-sair-395608.html
223,2024-07-05T18:48:18-03:00,Vasco terá que pagar valor adicional ao Benfica em caso de permanência,/noticias/vasco-tera-que-pagar-valor-adicional-ao-benfica-em-caso-de-permanencia-395595.html
224,2024-07-05T18:15:37-03:00,Matix Capital cobra valor milionário do Vasco,/noticias/matix-capital-cobra-valor-milionario-do-vasco-395593.html
225,2024-07-05T15:47:47-03:00,"Especulado no Vasco, Lyanco é anunciado pelo Atlético-MG",/noticias/especulado-no-vasco-lyanco-e-anunciado-pelo-atletico-mg-395581.html
226,2024-07-05T15:13:56-03:00,Pedrinho revela aumento da capacidade de São Januário,/noticias/pedrinho-revela-aumento-da-capacidade-de-sao-januario-395578.html
227,2024-07-05T14:34:10-03:00,A-Cap negocia a venda do futebol do Vasco,/noticias/a-cap-negocia-a-venda-do-futebol-do-vasco-395566.html
228,2024-07-05T14:17:01-03:00,"Pedrinho, sobre Coutinho: 'Não é uma negociação simples'",/noticias/pedrinho-sobre-coutinho-nao-e-uma-negociacao-simples-395561.html
229,2024-07-05T12:14:58-03:00,Payet já perdeu 2/3 dos jogos do Vasco no Brasileirão,/noticias/payet-ja-perdeu-23-dos-jogos-do-vasco-no-brasileirao-395557.html
230,2024-07-05T10:52:32-03:00,O motivo do Aston Villa não ter assinado ainda empréstimo de Coutinho,/noticias/o-motivo-do-aston-villa-nao-ter-assinado-ainda-emprestimo-de-coutinho-395550.html
231,2024-07-05T09:46:21-03:00,Vasco acerta empréstimo do atacante Paixão para time da Ucrânia,/noticias/vasco-acerta-emprestimo-do-atacante-paixao-para-time-da-ucrania-395546.html
